0.34	0.31	-0.16	0.06	-0.10	0.43	-0.34	-0.23	
0.34	0.33	-0.16	0.06	-0.06	0.43	-0.32	-0.21	
0.35	0.34	-0.16	0.05	-0.04	0.44	-0.31	-0.19	
0.35	0.34	-0.16	0.05	-0.02	0.44	-0.29	-0.18	
0.35	0.35	-0.16	0.04	-0.00	0.44	-0.28	-0.17	
0.35	0.35	-0.17	0.04	0.02	0.44	-0.28	-0.16	
0.35	0.36	-0.17	0.03	0.03	0.44	-0.27	-0.15	
0.35	0.36	-0.18	0.02	0.04	0.44	-0.26	-0.14	
0.35	0.36	-0.18	0.02	0.05	0.44	-0.26	-0.14	
0.35	0.37	-0.19	0.01	0.06	0.44	-0.25	-0.13	
0.35	0.37	-0.20	0.00	0.07	0.44	-0.25	-0.13	
0.35	0.37	-0.20	-0.00	0.09	0.43	-0.24	-0.12	
0.35	0.37	-0.21	-0.01	0.09	0.43	-0.24	-0.12	
0.34	0.37	-0.21	-0.02	0.10	0.43	-0.24	-0.11	
0.34	0.38	-0.22	-0.02	0.11	0.43	-0.23	-0.11	
0.34	0.38	-0.23	-0.03	0.12	0.43	-0.23	-0.10	
0.34	0.38	-0.24	-0.04	0.13	0.43	-0.23	-0.10	
0.34	0.38	-0.24	-0.05	0.14	0.43	-0.22	-0.09	
0.34	0.38	-0.25	-0.05	0.15	0.43	-0.22	-0.09	
0.33	0.39	-0.26	-0.06	0.16	0.42	-0.22	-0.09	
0.33	0.39	-0.26	-0.07	0.17	0.42	-0.22	-0.08	
0.33	0.39	-0.27	-0.08	0.18	0.42	-0.21	-0.08	
0.33	0.39	-0.28	-0.08	0.18	0.42	-0.21	-0.08	
0.33	0.39	-0.29	-0.09	0.19	0.42	-0.21	-0.07	
0.33	0.40	-0.30	-0.10	0.20	0.42	-0.21	-0.07	
0.33	0.40	-0.30	-0.11	0.21	0.42	-0.20	-0.06	
0.32	0.40	-0.31	-0.11	0.22	0.42	-0.20	-0.06	
0.32	0.40	-0.32	-0.12	0.23	0.42	-0.20	-0.06	
0.32	0.40	-0.33	-0.13	0.23	0.42	-0.20	-0.05	
0.32	0.41	-0.34	-0.14	0.24	0.42	-0.20	-0.05	
0.32	0.41	-0.35	-0.15	0.25	0.41	-0.19	-0.05	
0.32	0.41	-0.36	-0.15	0.26	0.41	-0.19	-0.05	
0.32	0.41	-0.37	-0.16	0.27	0.41	-0.19	-0.04	
0.32	0.42	-0.38	-0.17	0.28	0.41	-0.19	-0.04	
0.32	0.42	-0.39	-0.18	0.29	0.41	-0.19	-0.04	
0.32	0.42	-0.39	-0.19	0.29	0.41	-0.18	-0.03	
0.32	0.43	-0.40	-0.20	0.30	0.41	-0.18	-0.03	
0.32	0.43	-0.41	-0.20	0.31	0.41	-0.18	-0.03	
0.31	0.43	-0.43	-0.21	0.32	0.41	-0.18	-0.02	
0.31	0.43	-0.44	-0.22	0.33	0.41	-0.18	-0.02	
0.31	0.44	-0.45	-0.23	0.34	0.41	-0.18	-0.02	
0.31	0.44	-0.46	-0.24	0.35	0.41	-0.17	-0.01	
0.31	0.44	-0.47	-0.25	0.36	0.41	-0.17	-0.01	
0.31	0.45	-0.48	-0.26	0.36	0.41	-0.17	-0.01	
0.31	0.45	-0.49	-0.27	0.37	0.41	-0.17	-0.01	
0.31	0.46	-0.50	-0.28	0.38	0.41	-0.17	-0.00	
0.31	0.46	-0.51	-0.28	0.39	0.41	-0.17	-0.00	
0.31	0.46	-0.53	-0.29	0.40	0.42	-0.17	0.00	
0.31	0.47	-0.54	-0.30	0.41	0.42	-0.16	0.00	
0.31	0.47	-0.55	-0.31	0.42	0.42	-0.16	0.01	
0.31	0.48	-0.56	-0.32	0.43	0.42	-0.16	0.01	
